## Fri Jul 18 16:34:17 2025,,,,,,,,,,,,,,,,,,,,
## emapper-2.1.12,,,,,,,,,,,,,,,,,,,,
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel,,,,,,,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,
#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
OEU16467.1_hypothetical-protein-FRACYDRAFT_269010-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps21282,1.32e-99,329,"KOG1963@1|root,KOG1963@2759|Eukaryota,2XEG4@2836|Bacillariophyta",2836|Bacillariophyta,S,rRNA processing,-,-,-,ko:K14552,"ko03008,map03008",-,-,-,"ko00000,ko00001,ko03009",-,-,-,-
"OEU16466.1_hypothetical-protein-FRACYDRAFT_149653,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr31778,1.04e-106,325,"COG0739@1|root,2S3BI@2759|Eukaryota,2XGEK@2836|Bacillariophyta",2836|Bacillariophyta,M,Peptidase family M23,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M23
OEU16460.1_hypothetical-protein-FRACYDRAFT_239052-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr46216,2.15e-38,158,"2EQZR@1|root,2STWG@2759|Eukaryota,2XCW2@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16458.1_hypothetical-protein-FRACYDRAFT_186329-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps4306,5.2e-22,94.4,"2ETFG@1|root,2SVT9@2759|Eukaryota,2XDM9@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16457.1_ornithine-transaminase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr27726,1.15e-233,652,"COG4992@1|root,KOG1402@2759|Eukaryota,2XAWX@2836|Bacillariophyta",2836|Bacillariophyta,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,-,-,2.6.1.13,ko:K00819,"ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130",-,R00667,"RC00006,RC00062","ko00000,ko00001,ko01000,ko01007",-,-,-,Aminotran_3
OEU16456.1_hypothetical-protein-FRACYDRAFT_2082.1_[Fragilariopsiscylindrus-CCMP1102],159749.K0SD83,3.02e-39,139,"KOG3318@1|root,KOG3318@2759|Eukaryota,2XDN4@2836|Bacillariophyta",2836|Bacillariophyta,S,Protein of unknown function (DUF1077),-,-,-,-,-,-,-,-,-,-,-,-,DUF1077
OEU16455.1_CK_II_beta-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps17468,2.56e-122,357,"COG5041@1|root,KOG3092@2759|Eukaryota,2XCTV@2836|Bacillariophyta",2836|Bacillariophyta,DKT,Plays a complex role in regulating the basal catalytic activity of the alpha subunit,-,-,-,ko:K03115,"ko03008,ko04064,ko04137,ko04139,ko04310,ko04520,ko04712,ko05162,ko05168,ko05169,map03008,map04064,map04137,map04139,map04310,map04520,map04712,map05162,map05168,map05169",-,-,-,"ko00000,ko00001,ko03009",-,-,-,CK_II_beta
OEU16454.1_PTR2-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47218,6.58e-131,402,"COG3104@1|root,KOG1237@2759|Eukaryota",2759|Eukaryota,E,transmembrane transporter activity,-,-,-,ko:K03305,-,-,-,-,ko00000,2.A.17,-,-,PTR2
OEU16453.1_fumarase-precursor-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr36139,7.68e-250,695,"COG0114@1|root,KOG1317@2759|Eukaryota,2XAMN@2836|Bacillariophyta",2836|Bacillariophyta,C,Fumarase C C-terminus,-,-,4.2.1.2,ko:K01679,"ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211","M00009,M00011,M00173,M00376",R01082,RC00443,"ko00000,ko00001,ko00002,ko01000",-,-,-,"FumaraseC_C,Lyase_1"
OEU16450.1_bifunctional-GMP-synthase/glutamine-amidotransferase-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr27735,0,905,"COG0519@1|root,KOG1622@2759|Eukaryota,2XBP0@2836|Bacillariophyta",2836|Bacillariophyta,F,GMP synthase C terminal domain,-,-,6.3.5.2,ko:K01951,"ko00230,ko00983,ko01100,map00230,map00983,map01100",M00050,"R01230,R01231,R08244","RC00010,RC00204","ko00000,ko00001,ko00002,ko01000,ko01002",-,-,-,"GATase,GMP_synt_C,NAD_synthase"
OEU16447.1_hypothetical-protein-FRACYDRAFT_185785-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42756,2.11e-194,575,"296UM@1|root,2RDTX@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16444.1_protein-serine/threonine-phosphatase-2C-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr12641,2.34e-79,245,"COG0631@1|root,KOG0698@2759|Eukaryota,2XCUS@2836|Bacillariophyta",2836|Bacillariophyta,T,"Serine/threonine phosphatases, family 2C, catalytic domain",-,-,3.1.3.16,ko:K17506,-,-,-,-,"ko00000,ko01000,ko01009",-,-,-,PP2C
OEU16443.1_WD40-repeat-like-protein-[Fragilariopsiscylindrus-CCMP1102],112098.XP_008618111.1,8.23e-35,142,"KOG3881@1|root,KOG3881@2759|Eukaryota",2759|Eukaryota,D,ribosomal large subunit biogenesis,WDR74,"GO:0001701,GO:0001824,GO:0001825,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009653,GO:0009790,GO:0009792,GO:0009987,GO:0016070,GO:0019725,GO:0022613,GO:0030684,GO:0030687,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032991,GO:0034641,GO:0042254,GO:0042273,GO:0042592,GO:0043009,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0046716,GO:0048646,GO:0048856,GO:0060249,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904",-,ko:K14841,-,-,-,-,"ko00000,ko03009",-,-,-,WD40
OEU16442.1_hypothetical-protein-FRACYDRAFT_225682-[Fragilariopsiscylindrus-CCMP1102],159749.K0S7L2,7.93e-19,92,"2DA4V@1|root,2QYPT@2759|Eukaryota,2XGI4@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16440.1_hypothetical-protein-FRACYDRAFT_269002-[Fragilariopsiscylindrus-CCMP1102],159749.K0SFK1,4.39e-64,202,"2E9H5@1|root,2SFV0@2759|Eukaryota,2XCFJ@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16439.1_hypothetical-protein-FRACYDRAFT_261240-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps11078,4.22e-28,118,"KOG2845@1|root,KOG2845@2759|Eukaryota,2XDRA@2836|Bacillariophyta",2836|Bacillariophyta,K,"Putative zinc finger motif, C2HC5-type",-,-,-,-,-,-,-,-,-,-,-,-,zf-C2HC5
OEU16438.1_hypothetical-protein-FRACYDRAFT_2390.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr12731,1.96e-74,231,"COG0638@1|root,KOG0180@2759|Eukaryota,2XCPF@2836|Bacillariophyta",2836|Bacillariophyta,O,Proteasome subunit,-,-,3.4.25.1,ko:K02735,"ko03050,map03050","M00337,M00340",-,-,"ko00000,ko00001,ko00002,ko01000,ko01002,ko03051",-,-,-,Proteasome
OEU16435.1_hypothetical-protein-FRACYDRAFT_186233-[Fragilariopsiscylindrus-CCMP1102],159749.K0SSI5,3.3e-142,427,"COG1092@1|root,2QS1I@2759|Eukaryota,2XBPU@2836|Bacillariophyta",2836|Bacillariophyta,J,S-adenosylmethionine-dependent methyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,Methyltrans_SAM
OEU16434.1_Peptidase_S49-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],159749.K0TMR4,3.45e-108,330,"COG0616@1|root,2R7CR@2759|Eukaryota,2XAWC@2836|Bacillariophyta",2759|Eukaryota,O,Peptidase family S49 N-terminal,-,-,-,-,-,-,-,-,-,-,-,-,"Peptidase_S49,Peptidase_S49_N"
OEU16431.1_EMP70-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42002,5.88e-307,860,"KOG1278@1|root,KOG1278@2759|Eukaryota,2XEB7@2836|Bacillariophyta",2836|Bacillariophyta,U,Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family,-,-,-,-,-,-,-,-,-,-,-,-,EMP70
OEU16429.1_peptide-chain-release-factor.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr36081,6.86e-201,563,"COG0216@1|root,KOG2726@2759|Eukaryota",2759|Eukaryota,J,translation release factor activity,MRF1,"GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0006996,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009657,GO:0009658,GO:0009668,GO:0009987,GO:0010027,GO:0010467,GO:0016020,GO:0016043,GO:0016149,GO:0019538,GO:0019866,GO:0022411,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032543,GO:0032544,GO:0032984,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0061024,GO:0070126,GO:0071704,GO:0071840,GO:0097159,GO:0140053,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02835,-,-,-,-,"ko00000,ko03012",-,-,-,"PCRF,RF-1"
"OEU16428.1_glycoside-hydrolase,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr54536,3.41e-285,809,"COG5520@1|root,KOG2566@2759|Eukaryota,2XACA@2836|Bacillariophyta",2836|Bacillariophyta,G,Glycosyl hydrolase family 30 TIM-barrel domain,-,-,3.2.1.45,ko:K01201,"ko00511,ko00600,ko01100,ko04142,map00511,map00600,map01100,map04142",-,R01498,"RC00059,RC00451","ko00000,ko00001,ko01000",-,GH30,-,Glyco_hydro_30
OEU16421.1_hypothetical-protein-FRACYDRAFT_239015-[Fragilariopsiscylindrus-CCMP1102],67593.Physo140675,3.3e-14,73.6,"COG2801@1|root,KOG0017@2759|Eukaryota,3QII7@4776|Peronosporales",67593.Physo140675|-,L,Integrase core domain,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16419.1_hypothetical-protein-FRACYDRAFT_239013-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr1905,3.84e-200,569,"KOG1815@1|root,KOG1815@2759|Eukaryota,2XAUR@2836|Bacillariophyta",2836|Bacillariophyta,O,In Between Ring fingers,-,-,2.3.2.31,ko:K11968,-,-,-,-,"ko00000,ko01000,ko04121",-,-,-,IBR
OEU16415.1_hypothetical-protein-FRACYDRAFT_225672-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps264177,3.06e-47,160,"KOG1591@1|root,KOG1591@2759|Eukaryota,2XF9R@2836|Bacillariophyta",2836|Bacillariophyta,E,Prolyl 4-hydroxylase alpha subunit homologues.,-,-,1.14.11.2,ko:K00472,"ko00330,ko01100,map00330,map01100",-,R01252,RC00478,"ko00000,ko00001,ko01000",-,-,-,2OG-FeII_Oxy_3
OEU16414.1_CRM1_C-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps268616,0,1639,"COG5101@1|root,KOG2020@2759|Eukaryota,2XBJY@2836|Bacillariophyta",2836|Bacillariophyta,UY,CRM1 C terminal,-,-,-,ko:K14290,"ko03008,ko03013,ko04013,ko05164,ko05166,ko05169,map03008,map03013,map04013,map05164,map05166,map05169",-,-,-,"ko00000,ko00001,ko03009,ko03016,ko03019,ko03036",1.I.1,-,-,"CRM1_C,IBN_N,Xpo1"
OEU16413.1_hypothetical-protein-FRACYDRAFT_239007-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr50546,1.84e-188,561,"KOG4197@1|root,KOG4197@2759|Eukaryota,2XASN@2836|Bacillariophyta",2836|Bacillariophyta,S,Pentatricopeptide repeat domain,-,-,-,-,-,-,-,-,-,-,-,-,PPR_3
OEU16412.1_hypothetical-protein-FRACYDRAFT_239006-[Fragilariopsiscylindrus-CCMP1102],159749.K0SJC0,4.03e-95,293,"2CV5P@1|root,2RRC5@2759|Eukaryota,2XAJ4@2836|Bacillariophyta",2836|Bacillariophyta,S,Protein of unknown function (DUF3493),-,-,-,-,-,-,-,-,-,-,-,-,DUF3493
OEU16411.1_kinase-like-protein-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps8879,6.28e-44,167,"COG0515@1|root,KOG0192@2759|Eukaryota,2XEQ4@2836|Bacillariophyta",2836|Bacillariophyta,T,Protein tyrosine kinase,-,-,-,-,-,-,-,-,-,-,-,-,Pkinase
OEU16409.1_ABC-type-transport-protein-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps40554,0,906,"COG0488@1|root,KOG0927@2759|Eukaryota,2XAR2@2836|Bacillariophyta",2836|Bacillariophyta,S,ABC transporter,-,-,-,-,-,-,-,-,-,-,-,-,"ABC_tran,ABC_tran_Xtn"
OEU16408.1_translation-elongation-factor-P-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr41511,1.23e-89,268,"COG0231@1|root,2QSVF@2759|Eukaryota,2XCVM@2836|Bacillariophyta",2836|Bacillariophyta,J,"Elongation factor P, C-terminal",-,-,-,ko:K02356,-,-,-,-,"ko00000,ko03012",-,-,-,"EFP,EFP_N,Elong-fact-P_C"
OEU16403.1_cytochrome-P450-monooxygenase-CYP51.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr31339,2.58e-219,619,"COG2124@1|root,KOG0684@2759|Eukaryota,2XB0R@2836|Bacillariophyta",2836|Bacillariophyta,Q,Belongs to the cytochrome P450 family,-,-,1.14.13.70,ko:K05917,"ko00100,ko01100,ko01110,ko01130,map00100,map01100,map01110,map01130",M00101,"R05640,R05731",RC01442,"ko00000,ko00001,ko00002,ko00199,ko01000",-,-,-,p450
OEU16402.1_S-adenosyl-L-methionine-dependent-methyltransferase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42302,8.17e-121,355,"COG0500@1|root,KOG1541@2759|Eukaryota,2XAN9@2836|Bacillariophyta",2836|Bacillariophyta,Q,Methyltransferase involved in Williams-Beuren syndrome,-,-,2.1.1.309,ko:K19306,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"Methyltransf_11,WBS_methylT"
"OEU16401.1_hypothetical-protein-FRACYDRAFT_154162,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr41545,1.84e-50,165,"29I2M@1|root,2RR9G@2759|Eukaryota,2XCRA@2836|Bacillariophyta",2836|Bacillariophyta,S,Domain of unknown function (DUF3067),-,-,-,-,-,-,-,-,-,-,-,-,DUF3067
OEU16399.1_tubulin-binding-cofactor-A-[Fragilariopsiscylindrus-CCMP1102],159749.K0TH70,5.21e-23,94,"2E5K9@1|root,2SCDH@2759|Eukaryota,2XDS2@2836|Bacillariophyta",2836|Bacillariophyta,Z,Tubulin binding cofactor A,-,-,-,ko:K17292,-,-,-,-,"ko00000,ko04147,ko04812",-,-,-,TBCA
"OEU16397.1_hypothetical-protein-FRACYDRAFT_185638,-partial-[Fragilariopsiscylindrus-CCMP1102]",159749.K0TN41,5.15e-31,122,"2C0FD@1|root,2SQQZ@2759|Eukaryota,2XCX7@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16396.1_phosphoglycerate-mutase-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr36168,1.35e-86,269,"COG0406@1|root,2S74G@2759|Eukaryota,2XCDD@2836|Bacillariophyta",2836|Bacillariophyta,G,Histidine phosphatase superfamily (branch 1),-,-,-,-,-,-,-,-,-,-,-,-,His_Phos_1
OEU16394.1_Isochorismatase-hydrolase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr27696,1.9e-88,266,"COG1335@1|root,KOG4044@2759|Eukaryota,2XBUE@2836|Bacillariophyta",2836|Bacillariophyta,Q,Isochorismatase family,-,-,-,-,-,-,-,-,-,-,-,-,Isochorismatase
"OEU16393.1_hypothetical-protein-FRACYDRAFT_160342,-partial-[Fragilariopsiscylindrus-CCMP1102]",3218.PP1S80_26V6.1,2.41e-17,80.9,"KOG2858@1|root,KOG2858@2759|Eukaryota,37RFU@33090|Viridiplantae,3GH4K@35493|Streptophyta",35493|Streptophyta,S,Box C D snoRNA protein,-,-,-,-,-,-,-,-,-,-,-,-,"TIC20,zf-HIT"
OEU16392.1_DEAD-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr46259,9.67e-262,735,"COG0513@1|root,KOG0342@2759|Eukaryota,2XAEA@2836|Bacillariophyta",2836|Bacillariophyta,A,DUF4217,-,-,3.6.4.13,ko:K13179,-,-,-,-,"ko00000,ko01000,ko03009,ko03041",-,-,-,"DEAD,DUF4217,Helicase_C"
OEU16391.1_hypothetical-protein-FRACYDRAFT_208223-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr29042,1.94e-93,293,"COG0697@1|root,KOG2234@2759|Eukaryota",2759|Eukaryota,EG,pyrimidine nucleotide-sugar transmembrane transporter activity,-,"GO:0003674,GO:0005215,GO:0005338,GO:0005342,GO:0005463,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006810,GO:0006811,GO:0006820,GO:0007275,GO:0008150,GO:0008509,GO:0008514,GO:0009555,GO:0009653,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0010208,GO:0010584,GO:0010605,GO:0010927,GO:0012505,GO:0015075,GO:0015136,GO:0015165,GO:0015318,GO:0015711,GO:0015739,GO:0015780,GO:0015789,GO:0015849,GO:0015931,GO:0015932,GO:0016043,GO:0019222,GO:0022607,GO:0022857,GO:0030162,GO:0030198,GO:0031323,GO:0031324,GO:0031329,GO:0031330,GO:0032268,GO:0032269,GO:0032434,GO:0032435,GO:0032501,GO:0032502,GO:0032989,GO:0034220,GO:0042176,GO:0042177,GO:0043062,GO:0043086,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044092,GO:0044424,GO:0044444,GO:0044464,GO:0045229,GO:0045861,GO:0046942,GO:0046943,GO:0048229,GO:0048509,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051341,GO:0051354,GO:0055085,GO:0060255,GO:0061136,GO:0065007,GO:0065009,GO:0071702,GO:0071705,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0085029,GO:0090481,GO:0098656,GO:1901264,GO:1901505,GO:1901799,GO:1902183,GO:1903050,GO:1903051,GO:1903069,GO:1903070,GO:1903362,GO:1903363,GO:1903573,GO:1903825,GO:1903856,GO:1903857,GO:1904292,GO:1904293,GO:1905039,GO:1905897,GO:1990569,GO:2000058,GO:2000059",-,ko:K15272,-,-,-,-,"ko00000,ko02000",2.A.7.12,-,-,Nuc_sug_transp
OEU16390.1_thiamine-biosynthesis-protein-thiC-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps41733,0,1009,"COG0422@1|root,2QRQ4@2759|Eukaryota,2XAGV@2836|Bacillariophyta",2836|Bacillariophyta,H,ThiC-associated domain,-,-,4.1.99.17,ko:K03147,"ko00730,ko01100,map00730,map01100",M00127,R03472,"RC03251,RC03252","ko00000,ko00001,ko00002,ko01000",-,-,-,"ThiC-associated,ThiC_Rad_SAM"
OEU16388.1_hypothetical-protein-FRACYDRAFT_268984-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps23418,2.72e-54,185,"2E230@1|root,2S9BV@2759|Eukaryota,2XEKM@2836|Bacillariophyta",2836|Bacillariophyta,S,Helicase associated domain,-,-,-,-,-,-,-,-,-,-,-,-,HA
OEU16386.1_hypothetical-protein-FRACYDRAFT_186254-[Fragilariopsiscylindrus-CCMP1102],159749.K0T5F3,5.11e-98,295,"2BGQI@1|root,2QXE6@2759|Eukaryota,2XEWK@2836|Bacillariophyta",2836|Bacillariophyta,S,TLD,-,-,-,-,-,-,-,-,-,-,-,-,TLD
OEU16385.1_hypothetical-protein-FRACYDRAFT_238978-[Fragilariopsiscylindrus-CCMP1102],227086.JGI_V11_78316,3.11e-89,283,"2C6QX@1|root,2SPCW@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU16383.1_hypothetical-protein-FRACYDRAFT_261222-[Fragilariopsiscylindrus-CCMP1102],35128.Thapsdraft1820,1.9e-89,273,"2EY4J@1|root,2SZPF@2759|Eukaryota,2XFTS@2836|Bacillariophyta",2836|Bacillariophyta,S,"Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.",-,-,-,-,-,-,-,-,-,-,-,-,Fasciclin
OEU16380.1_WD-repeat-containing-protein-wa.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr36142,6.88e-119,352,"KOG0315@1|root,KOG0315@2759|Eukaryota,2XBR7@2836|Bacillariophyta",2836|Bacillariophyta,S,"WD domain, G-beta repeat",-,-,-,ko:K08266,"ko04136,ko04138,ko04140,ko04150,ko04151,ko04714,map04136,map04138,map04140,map04150,map04151,map04714",-,-,-,"ko00000,ko00001,ko04131",-,-,-,WD40
OEU16379.1_polyribonucleotide-nucleotidyltransferase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr20608,0,1002,"COG1185@1|root,KOG1067@2759|Eukaryota,2XAI3@2836|Bacillariophyta",2836|Bacillariophyta,J,"3' exoribonuclease family, domain 2",-,-,2.7.7.8,ko:K00962,"ko00230,ko00240,ko03018,map00230,map00240,map03018",M00394,"R00437,R00438,R00439,R00440",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03016,ko03019",-,-,-,"KH_1,RNase_PH,RNase_PH_C,S1"
"OEU16378.1_hypothetical-protein-FRACYDRAFT_164567,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr46215,1.28e-29,115,"KOG1691@1|root,KOG1691@2759|Eukaryota,2XCVY@2836|Bacillariophyta",2836|Bacillariophyta,U,emp24/gp25L/p24 family/GOLD,-,-,-,ko:K20352,-,-,-,-,"ko00000,ko02000,ko04131",9.B.188,-,-,EMP24_GP25L
"OEU16377.1_DUF862-domain-containing-protein,-partial-[Fragilariopsiscylindrus-CCMP1102]",44056.XP_009032864.1,1.4e-40,139,"KOG0324@1|root,KOG0324@2759|Eukaryota",2759|Eukaryota,S,Lys63-specific deubiquitinase activity,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_C97
OEU16376.1_MI-1-P-synthase-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps36788,7.89e-309,849,"COG1260@1|root,KOG0693@2759|Eukaryota,2XBJN@2836|Bacillariophyta",2836|Bacillariophyta,I,Myo-inositol-1-phosphate synthase,-,-,5.5.1.4,ko:K01858,"ko00521,ko00562,ko01100,ko01130,map00521,map00562,map01100,map01130",-,R07324,RC01804,"ko00000,ko00001,ko01000",-,-,-,"Inos-1-P_synth,NAD_binding_5"
"OEU16371.1_hypothetical-protein-FRACYDRAFT_185155,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr48742,6.15e-103,308,"2CY11@1|root,2S17C@2759|Eukaryota,2XBRG@2836|Bacillariophyta",2836|Bacillariophyta,S,Phytanoyl-CoA dioxygenase (PhyH),-,-,-,-,-,-,-,-,-,-,-,-,PhyH
"OEU16367.1_ternary-protein-Dna-Complex1,-partial-[Fragilariopsiscylindrus-CCMP1102]",159749.K0RFR3,1.84e-79,253,"COG5147@1|root,KOG0048@2759|Eukaryota,2XCJK@2836|Bacillariophyta",2836|Bacillariophyta,K,Myb-like DNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,Myb_DNA-binding
OEU16366.1_hypothetical-protein-FRACYDRAFT_1858.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr46071,4.01e-47,156,"2CJ9H@1|root,2S6T3@2759|Eukaryota,2XDB0@2836|Bacillariophyta",2836|Bacillariophyta,S,Protein of unknown function (DUF3007),-,-,-,-,-,-,-,-,-,-,-,-,DUF3007
OEU16365.1_SAC3_GANP-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps260899,1.65e-91,276,"KOG3151@1|root,KOG3151@2759|Eukaryota,2XFBA@2836|Bacillariophyta",2836|Bacillariophyta,O,CSN8/PSMD8/EIF3K family,-,-,-,ko:K03031,"ko03050,ko05169,map03050,map05169",M00341,-,-,"ko00000,ko00001,ko00002,ko03051",-,-,-,CSN8_PSD8_EIF3K
OEU16364.1_thiamine-pyrophosphokinase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr5423,3.76e-47,166,"COG1564@1|root,KOG3153@2759|Eukaryota,2XG88@2836|Bacillariophyta",2836|Bacillariophyta,H,"Thiamin pyrophosphokinase, vitamin B1 binding domain",-,-,2.7.6.2,ko:K00949,"ko00730,ko01100,map00730,map01100",-,R00619,"RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,"TPK_B1_binding,TPK_catalytic"
OEU16363.1_Clavaminate-synthase-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr46234,1.71e-168,497,"KOG2130@1|root,KOG2130@2759|Eukaryota,2XEZN@2836|Bacillariophyta",2836|Bacillariophyta,BT,A domain family that is part of the cupin metalloenzyme superfamily.,-,-,-,-,-,-,-,-,-,-,-,-,Cupin_8
OEU16361.1_kinase-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr27639,1e-214,598,"KOG0986@1|root,KOG0986@2759|Eukaryota,2XB7D@2836|Bacillariophyta",2836|Bacillariophyta,T,Protein tyrosine kinase,-,-,2.7.11.15,ko:K00910,"ko04062,ko04144,ko04340,ko04724,ko04740,ko04745,ko05032,map04062,map04144,map04340,map04724,map04740,map04745,map05032",-,-,-,"ko00000,ko00001,ko01000,ko01001,ko04147",-,-,-,Pkinase
